key_resp1.keys,key_resp1.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,time,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,cond,ord,colour,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline,dirs_what,key_resp6.keys,key_resp6.rt,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,19,1,ñe,52:56,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6737,0,0,0,1,1,Online_whenL3//cGA5.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,Online_whenL3//cGA4.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9595,0,2,2,2,1,Online_whenL3//cGA6.444.wav,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8369,0,3,3,3,1,Online_whenL3//cGA7.0.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,23,1,ga,76:80,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Online_whenL3//aMO8.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6353,0,1,1,1,1,Online_whenL3//aMO9.1110.wav,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,1,Online_whenL3//aMO11.222.wav,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546865,001,2023-06-06_13h49.48.792,Unsyncopated1,2022.2.5,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,1,Online_whenL3//aMO10.none.wav,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
